S,T,B,Ln_x,Ln_y,H_x,H_y,B_x,B_y,rbt_x,rbb_x,rbt_y,rbb_y,fy_B,fc,Fcca
2,0,2,1.9,1.9,180,180,100,100,1.4,1.4,1.4,1.4,437,31.6,90.44661336
2,0,1,2.8,2.8,250,250,125,125,1.606043464,1.311806493,1.606043464,1.311806493,360,25.675,93.12884
2,0,2,1.5,1.5,130,130,80,80,1.707387312,1.707387312,1.707387312,1.707387312,437,23.3,49.51461
2,0,1,3.6,3.6,600,600,300,300,0.7,0.47,0.7,0.47,456,28,988.9873128
2,0,2,2.467,2.467,200,200,100,100,0.85,0.85,0.85,0.85,416,19.75,37.30666667
1,0,3,1.3,2.6,150,200,100,100,1.206371579,0.804247719,0.861693985,0.574462657,420.4,27.729,35.72
2,0,2,2.75,2.75,250,250,150,150,0.73,0.49,0.73,0.49,511,31.2,75.32051483
2,0,1,5.4,5.4,600,600,300,300,1.14,0.76,1.14,0.76,456,28,832.2999052
1,1,3,1.8,1.8,200,200,100,100,0.85195733,0.894068871,0.85195733,0.894068871,465,27,63.85
2,0,2,1.9,1.9,180,180,100,100,0.6,0.6,0.6,0.6,437,31.6,55.54514507
0,1,1,1.8,1.8,180,180,90,90,0.578207237,0.385471491,0.578207237,0.385471491,481,29.3643,20.1
2,0,3,2.45,2.45,250,250,150,150,1.014325879,0.676217253,1.014325879,0.676217253,413,29.3,88.01282147
2,0,2,1.6,1.6,200,200,200,200,0.8,0.8,0.8,0.8,340,21.7,92.63195193
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,550,25,482.8657029
2,1,2,1.5,1.3,140,140,80,80,1.34,1.34,1.34,1.34,437,23.3,103.0979
2,0,2,1.8,1.8,150,150,100,100,0.750231081,0.750231081,0.750231081,0.750231081,470,25.4,33.32892313
2,0,2,2.467,2.467,200,200,100,100,1.307483648,1.307483648,1.307483648,1.307483648,535,19.75,67.06666667
2,0,2,2.65,2.65,350,350,350,350,0.743640979,0.743640979,0.743640979,0.743640979,600,30,517.2459174
2,0,2,2.467,2.467,270,270,100,100,0.85,0.5,0.85,0.5,416,19.75,60.46
1,0,3,1.8,1.8,200,200,200,200,0.282390351,0.282390351,0.282390351,0.282390351,588,57.3,75.29673704
2,0,2,1.5,1.5,180,180,100,100,1,1,1,1,437,31.6,98.81874671
2,0,2,1.5,1.5,187.5,187.5,80,80,1.138258208,1.138258208,1.138258208,1.138258208,437,23.3,84.21919468
2,0,3,2.467,2.467,200,200,100,100,1.307483648,1.307483648,1.307483648,1.307483648,416,19.75,49.76
