S,T,B,Ln_x,Ln_y,H_x,H_y,B_x,B_y,rbt_x,rbb_x,rbt_y,rbb_y,fy_B,fc,F0.01,F0.02,F0.03,F0.04,F0.05,F0.06,F0.07,F0.08,F0.09,F0.10,F0.11,F0.12,F0.13,F0.14,F0.15
1,0,1,1.9,1.9,170,170,85,85,0.800405772,0.423744232,0.965195195,0.753323079,372,33.97,11.18593494,16.99896082,19.60263189,20.66186295,20.81045233,20.47602879,19.96052793,19.41869768,18.94287857,18.59113727,18.37347429,18.27838507,18.26806951,18.36978157,18.65318638
2,0,3,2.45,2.45,250,250,150,150,1.014325879,0.676217253,1.014325879,0.676217253,413,29.3,48.16840036,65.60785378,72.30298866,76.02754333,78.31749229,79.54760871,80.36486945,80.84116781,80.74799177,80.45615753,80.1160262,80.02086378,80.17262101,80.38330304,81.00152871
2,1,2,1.3,1.9,140,180,80,100,1.005309649,1.005309649,0.609278575,0.609278575,437,21.4,45.01551113,60.78889843,68.43370807,72.78770165,75.4193679,77.35196705,79.03063192,80.69106608,82.41868501,84.20829434,86.07322273,87.93606758,89.80289901,91.69642254,93.42837158
2,0,2,3.25,3.25,250,250,150,150,1.061946812,0.707964542,1.061946812,0.707964542,438,30.1,20.01358951,42.37947462,53.81214664,59.51899719,62.40580627,63.8124312,64.54528236,65.01076182,65.28687914,65.54399411,66.11306406,67.31879935,68.95815608,70.99338046,73.30488026
2,0,2,1.6,1.6,250,250,200,200,1.21,1.21,1.21,1.21,360,22.2,143.9073835,178.9990735,190.1099452,196.5777852,200.8370628,202.8728904,202.1224684,200.4850951,198.6508262,196.8267078,195.4089281,194.2688208,191.8322881,188.6727905,185.9183869
2,0,2,1.9,1.9,180,180,100,100,1,1,1,1,437,39.5,46.76471791,61.55895523,64.66136119,64.98159592,64.13451327,62.98700106,62.18668927,61.19364726,60.23697595,59.44653966,58.9992187,59.19236714,59.4717043,59.98209211,61.37862268
0,0,1,1.3,2.6,150,200,100,100,1.206371579,0.804247719,0.861693985,0.574462657,420.4,27.729,4.472667047,9.395394319,12.64753354,14.62300448,15.38884443,15.33560439,14.74091689,14.11651587,13.56755415,13.10880009,12.72630716,12.35927508,11.99148424,11.6535207,11.31238597
1,0,2,1.5,1.4,140,140,200,200,0.62,0.41,0.62,0.41,530,26,10.50830153,18.71336831,23.85192087,27.2273994,29.35681905,30.69998979,31.53341289,32.00163439,32.28998036,32.47183026,32.60135206,32.74344556,32.93328362,33.24876782,33.71561141
2,0,2,1.9,1.9,180,180,100,100,1,1,1,1,437,52.2,55.60023212,70.35390792,73.45714364,73.3896683,72.24694593,70.92180693,69.44131074,67.98555939,66.93436922,65.82789455,65.40271503,65.49691577,65.94644394,67.29068903,69.20540098
2,0,2,1.8,1.8,250,250,120,120,0.78,1.57,0.78,1.57,558,43.4,23.57055754,45.70428284,65.38615592,78.6605901,85.07726572,88.20539786,89.25336592,89.12658922,88.71036084,88.32265855,88.12921897,88.17621971,88.48064051,89.12065991,89.8623812
1,1,1,1.9,1.9,170,170,85,85,0.800405772,0.423744232,0.965195195,0.753323079,372,33.97,30.32435773,41.60597894,48.75493234,52.53909747,54.47388692,55.43865805,55.95210912,56.20906163,56.50174551,56.80863772,57.20494242,57.69671744,58.27750969,58.9346974,59.65383615
1,0,3,2,2,170,170,85,85,0.800405772,0.423744232,0.965195195,0.753323079,372,33.97,12.26863422,14.44718447,15.61700533,16.36479167,16.79760706,17.01938704,17.10196377,17.09831543,17.05100194,16.98069444,16.9048596,16.88893651,16.95385958,17.0924775,17.30279672
2,0,3,2.467,2.467,200,200,100,100,1.307483648,1.307483648,1.307483648,1.307483648,416,19.75,21.93224356,33.17643305,37.54694578,39.85226183,41.36828997,42.54385188,43.48543168,44.25465993,44.96565285,45.65069019,46.34607581,47.06274368,47.80362077,48.56977144,49.36868655
2,0,2,0.9,0.9,100,100,100,100,1.305596947,0.734398283,1.305596947,0.734398283,537,25.8,11.69409931,17.03037097,20.29657108,22.04218232,22.91903036,23.39176351,23.65244457,23.82008492,23.97702639,24.15331131,24.3664875,24.61786737,24.90386508,25.22287214,25.57942847
2,0,1,1.225,1.225,300,300,150,150,0.55,0.55,0.55,0.55,350,25.517,114.6245471,175.2027488,215.3812927,242.6198918,258.7212095,269.064886,274.9643754,277.8720753,278.2248571,277.1170926,275.2639508,272.7882568,269.6225855,265.9384727,262.0372177
